name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Naman Dhir,Batsman,Right Handed Bat,Right-arm offbreak,Mumbai Indians,28,24,501,286,62,27.83,175.18,6,45,28,3,2,0,0,0,0,28,5,52,76,0,0,0.0,8.77,0.0,0/9,0/9,0,0,0,mumbai-indians__naman-dhir.jpg
Rohit Sharma,Batsman,Right Handed Bat,Right-arm offbreak,Mumbai Indians,276,271,7183,5417,109,29.8,132.61,30,653,310,18,48,2,0,0,0,276,32,339,453,0,15,30.2,8.02,22.6,4/6,4/6,1,0,0,mumbai-indians__rohit-sharma.jpg
Suryakumar Yadav,Batsman,Right Handed Bat,Right-arm offbreak,Mumbai Indians,171,156,4417,2970,103,34.51,148.73,28,465,171,11,30,2,0,0,0,171,1,6,8,0,0,0.0,8,0.0,0/8,0/8,0,0,0,mumbai-indians__suryakumar-yadav.jpg
Tilak Varma,Batsman,Left Handed Bat,Right-arm offbreak,Mumbai Indians,59,56,1542,1070,84,34.27,144.12,11,121,74,2,8,0,0,0,0,59,4,22,28,0,0,0.0,7.64,0.0,0/6,0/6,0,0,0,mumbai-indians__tilak-varma.jpg
Danish Malewar,Batsman,Right Handed Bat,Right-arm legbreak,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mumbai-indians__danish-malewar.jpg
Sherfane Rutherford,Batting Allrounder,Left Handed Bat,Right-arm fast-medium,Mumbai Indians,28,24,499,340,71,26.26,146.77,5,29,37,1,1,0,0,0,0,28,6,41,59,0,1,59.0,8.63,41.0,1/6,1/6,0,0,0,mumbai-indians__sherfane-rutherford.jpg
Hardik Pandya,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Mumbai Indians,156,144,2830,1922,91,28.3,147.25,44,218,150,6,10,0,0,0,0,156,111,1700,2626,0,80,32.83,9.27,21.25,5/36,5/36,0,1,0,mumbai-indians__hardik-pandya.jpg
Raj Bawa,Batting Allrounder,Left Handed Bat,Right-arm fast-medium,Mumbai Indians,5,3,19,18,11,9.5,105.56,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,mumbai-indians__raj-bawa.jpg
Will Jacks,Batting Allrounder,Right Handed Bat,Right-arm offbreak,Mumbai Indians,21,19,463,303,100,27.24,152.81,2,38,29,0,2,1,0,0,0,21,13,138,220,0,8,27.5,9.57,17.25,2/14,2/14,0,0,0,mumbai-indians__will-jacks.jpg
Mayank Rawat,Batting Allrounder,Right Handed Bat,Right-arm offbreak,Mumbai Indians,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,mumbai-indians__mayank-rawat.jpg
Krish Bhagat,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mumbai-indians__krish-bhagat.jpg
Corbin Bosch,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Mumbai Indians,4,3,58,36,27,29,161.12,1,5,3,0,0,0,0,0,0,4,3,61,94,0,2,47.0,9.25,30.5,1/26,1/26,0,0,0,mumbai-indians__corbin-bosch.jpg
Mitchell Santner,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Mumbai Indians,33,21,136,123,22,17,110.57,13,9,6,1,0,0,0,0,0,33,33,645,800,0,27,29.63,7.44,23.89,3/11,3/11,0,0,0,mumbai-indians__mitchell-santner.jpg
Shardul Thakur,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Mumbai Indians,110,43,333,240,68,11.48,138.75,14,31,13,8,1,0,0,0,0,110,107,2154,3434,3,113,30.39,9.57,19.06,4/34,4/34,2,0,0,mumbai-indians__shardul-thakur.jpg
Atharva Ankolekar,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mumbai-indians__atharva-ankolekar.jpg
Robin Minz,WK-Batsman,Left Handed Bat,Left-arm orthodox,Mumbai Indians,2,2,6,15,3,3,40.00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,mumbai-indians__robin-minz.jpg
Ryan Rickelton,WK-Batsman,Left Handed Bat,,Mumbai Indians,19,19,525,345,81,29.17,152.18,1,56,29,0,4,0,0,0,0,19,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,mumbai-indians__ryan-rickelton.jpg
Quinton de Kock,WK-Batsman,Left Handed Bat,,Mumbai Indians,116,116,3421,2529,140,31.68,135.28,8,333,141,4,24,3,0,0,0,116,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,mumbai-indians__quinton-de-kock.jpg
Trent Boult,Bowler,Right Handed Bat,Left-arm fast-medium,Mumbai Indians,122,30,86,83,17,8.6,103.62,20,5,3,3,0,0,0,0,0,122,122,2737,3857,11,144,26.78,8.46,19.01,4/18,4/18,2,0,0,mumbai-indians__trent-boult.jpg
Ashwani Kumar,Bowler,Left Handed Bat,Left-arm fast-medium,Mumbai Indians,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,123,232,0,11,21.09,11.32,11.18,4/24,4/24,1,0,0,mumbai-indians__ashwani-kumar.jpg
Jasprit Bumrah,Bowler,Right Handed Bat,Right-arm fast,Mumbai Indians,150,32,73,81,16,10.43,90.13,25,6,1,5,0,0,0,0,0,150,150,3451,4196,7,183,22.93,7.3,18.86,5/10,5/10,3,2,0,mumbai-indians__jasprit-bumrah.jpg
Deepak Chahar,Bowler,Right Handed Bat,Right-arm fast-medium,Mumbai Indians,98,18,123,89,39,15.38,138.21,10,6,8,4,0,0,0,0,0,98,98,1954,2684,7,89,30.16,8.24,21.96,4/13,4/13,2,0,0,mumbai-indians__deepak-chahar.jpg
Mayank Markande,Bowler,Right Handed Bat,Right-arm legbreak,Mumbai Indians,40,11,48,42,18,16,114.29,8,5,1,0,0,0,0,0,0,40,40,750,1145,0,37,30.95,9.16,20.27,4/15,4/15,2,0,0,mumbai-indians__mayank-markande.jpg
AM Ghazanfar,Bowler,Right Handed Bat,Right-arm offbreak,Mumbai Indians,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,60,103,0,4,25.75,10.3,15.0,2/21,2/21,0,0,0,mumbai-indians__am-ghazanfar.jpg
Raghu Sharma,Bowler,Right Handed Bat,Right-arm legbreak,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mumbai-indians__raghu-sharma.jpg
Mohammed Salahuddin Izhar,Bowler,Right Handed Bat,Left-arm fast-medium,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mumbai-indians__mohammed-salahuddin-izhar.jpg
